time	V(out)	V(n003)
9.390171874611049e-05	1.409934240692562e-06	0.000000000000000e+00
9.438999999611049e-05	1.417265782970306e-06	0.000000000000000e+00
9.487828124611049e-05	1.424597325244467e-06	0.000000000000000e+00
9.536656249611049e-05	1.431928867515045e-06	0.000000000000000e+00
9.585484374611049e-05	1.439260409782039e-06	0.000000000000000e+00
9.634312499611049e-05	1.446591952045450e-06	0.000000000000000e+00
9.683140624611049e-05	1.453923494305277e-06	0.000000000000000e+00
9.731968749611049e-05	1.461255036561521e-06	0.000000000000000e+00
9.780796874611049e-05	1.468586578814181e-06	0.000000000000000e+00
9.829624999611049e-05	1.475918121063258e-06	0.000000000000000e+00
9.878453124611049e-05	1.483249663308751e-06	0.000000000000000e+00
9.927281249611049e-05	1.490581205551118e-06	0.000000000000000e+00
9.951171874999999e-05	1.494168382596764e-06	0.000000000000000e+00
9.952218749222099e-05	1.494325570745560e-06	0.000000000000000e+00
9.954312497666300e-05	1.494639947043129e-06	0.000000000000000e+00
9.958499994554702e-05	1.495268699638242e-06	0.000000000000000e+00
9.966874988331505e-05	1.496526204828370e-06	0.000000000000000e+00
9.983624975885112e-05	1.499041215208439e-06	0.000000000000000e+00
9.983724975885112e-05	1.499056230206939e-06	0.000000000000000e+00
9.983924975885112e-05	1.499086260203937e-06	0.000000000000000e+00
9.984324975885112e-05	1.499146320197933e-06	0.000000000000000e+00
9.985124975885112e-05	1.499266440185925e-06	0.000000000000000e+00
9.986724975885112e-05	1.499506680161907e-06	0.000000000000000e+00
9.989924975885112e-05	1.499987160113859e-06	0.000000000000000e+00
9.993599999999999e-05	1.500538964929517e-06	0.000000000000000e+00
9.993699999999999e-05	1.500553979928015e-06	0.000000000000000e+00
9.993899999999999e-05	1.500584009925011e-06	0.000000000000000e+00
9.994299999999999e-05	1.500644069919003e-06	0.000000000000000e+00
9.995099999999999e-05	1.500764189906983e-06	0.000000000000000e+00
9.996699999999999e-05	1.501004429882942e-06	0.000000000000000e+00
9.996799999999999e-05	1.501019444881439e-06	0.000000000000000e+00
9.996999999999999e-05	1.501049474878434e-06	0.000000000000000e+00
9.997400000000000e-05	1.501109534872424e-06	0.000000000000000e+00
9.998200000000002e-05	1.501229654860403e-06	0.000000000000000e+00
9.998399999999996e-05	1.501259684857396e-06	0.000000000000000e+00
9.998799999999983e-05	1.501319744851382e-06	0.000000000000000e+00
9.999200000000024e-05	1.501379804845376e-06	0.000000000000000e+00
9.999300000000025e-05	1.501394819843873e-06	0.000000000000000e+00
9.999500000000025e-05	1.501424849840867e-06	0.000000000000000e+00
9.999600000000000e-05	1.501439864839361e-06	0.000000000000000e+00
9.999799999999949e-05	1.501469894836347e-06	0.000000000000000e+00
9.999899999999949e-05	1.501484909834844e-06	0.000000000000000e+00
9.999999999999999e-05	1.501499924833348e-06	0.000000000000000e+00
1.000000002750083e-04	1.501499928962597e-06	4.125123907825629e-03
1.000000008250248e-04	1.501499937221094e-06	1.237537172347689e-02
1.000000019250578e-04	1.501499953738089e-06	2.887586715149149e-02
1.000000041251239e-04	1.501499986772077e-06	6.187685821080861e-02
1.000000085252560e-04	1.501500054615386e-06	1.278788401261549e-01
1.000000101443473e-04	1.501500084727099e-06	1.521652099570510e-01
1.000000121228995e-04	1.501500133711742e-06	1.818434922903683e-01
1.000000130987407e-04	1.501500169988383e-06	1.964811103936535e-01
